model,horizon,rmse,mae,pe,r2,lc,bias,uncertainty_factor,skill_vs_persistence,skill_vs_climatology,pod,far,pofd,csi,f1,hss,tss,n_hits,n_misses,n_false_alarms,n_correct_neg,roc_auc,brier,bss,pinball_0.1,pinball_0.5,pinball_0.9,crps,picp,picp_nominal
persistence,nowcast,0.1791356324544563,0.14550195965501997,0.9450085285841314,0.9450085285841314,0.9725651402335392,0.0042609827536525145,1.5105518338012134,0.0,0.9546241507430823,0.9302325581395349,0.09433962264150944,0.04681647940074907,0.8480565371024735,0.9177820267686424,0.8772650607620118,0.8834160787387858,240.0,18.0,25.0,509.0,0.941708039369393,0.054292929292929296,0.752808988764045,0.07445537292897099,0.07275097982750998,0.07104658672604898,0.14550195965501997,0.0,0.8
persistence,6h,0.525205577036495,0.4574005285447294,0.5156090139403562,0.5156090139403562,0.7627497579497614,0.04199300149474481,3.3512403546925715,0.0,0.5748327952632766,0.6398305084745762,0.43018867924528303,0.20503597122302158,0.43142857142857144,0.6027944111776448,0.41994464727358377,0.43479453725155465,151.0,85.0,114.0,442.0,0.7173972686257774,0.25126262626262624,-0.20113400804779902,0.24549746487026264,0.2287002642723647,0.2119030636744668,0.4574005285447294,0.0,0.8
persistence,12h,0.7203749968425128,0.6315574457850119,0.09881008752048048,0.09881008752048048,0.5580772851318213,0.07573011479895524,5.2526080731806815,0.0,0.2777833385481344,0.4366812227074236,0.6226415094339622,0.29307282415630553,0.25380710659898476,0.4048582995951417,0.13721014680707583,0.14360839855111807,100.0,129.0,165.0,398.0,0.571804199275559,0.3712121212121212,-0.806045281438333,0.34607076881208804,0.31577872289250597,0.28548667697292385,0.6315574457850119,0.0,0.8
climatology,nowcast,0.8409488832464325,0.6661968549920453,-0.21191057173403438,-0.21191057173403438,0.25835819651969427,-0.21184933445218837,6.933441941342813,-21.03815501805832,0.0,0.1937984496124031,0.35064935064935066,0.05056179775280899,0.17543859649122806,0.29850746268656714,0.17495611468695138,0.1432366518595941,50.0,208.0,27.0,507.0,0.6137204947304242,0.2342540708768545,-0.06653852389817394,0.18630707402045682,0.32593919568215357,0.25091146998709496,0.5087718264598036,0.5214646464646465,0.8
climatology,6h,0.8054701494446417,0.6404129090257967,-0.13929527174983702,-0.13929527174983702,0.31957588523558067,-0.19307253475893627,6.389548182738562,-1.3520158395547717,0.0,0.1864406779661017,0.5111111111111111,0.08273381294964029,0.15602836879432624,0.26993865030674846,0.12616822429906546,0.10370686501646141,44.0,192.0,46.0,510.0,0.5315053042311914,0.25619622220904004,-0.22471853377432094,0.17117026600648055,0.3134705312361922,0.2654097136034809,0.5000336738974358,0.5555555555555556,0.8
climatology,12h,0.8476662247068872,0.6903659284792163,-0.24781102483549144,-0.24781102483549144,0.21624525004272288,-0.17994436241611086,7.0415168798241226,-0.3846260455826498,0.0,0.12663755458515283,0.6506024096385542,0.09591474245115453,0.10247349823321555,0.1858974358974359,0.03788799081735151,0.0307228121339983,29.0,200.0,54.0,509.0,0.4609624050819456,0.28760768970758566,-0.3992875803884288,0.1956701275488042,0.3392879634230125,0.2960182339442197,0.553984216610691,0.5227272727272727,0.8
lightgbm,nowcast,0.13452248219312204,0.10661471119583255,0.9689886178989081,0.9689886178989081,0.9845264623513315,0.0006655209669561098,1.3630835673502966,0.4360692430546034,0.9744111629815062,0.9418604651162791,0.05078125,0.024344569288389514,0.8966789667896679,0.9455252918287937,0.9193576540408448,0.9175158958278896,243.0,15.0,13.0,521.0,0.9942804053073193,0.03630058139863533,0.8347265925555731,0.0269174245308445,0.05330735559791627,0.025843291334582096,0.07071204764222859,0.6616161616161617,0.8
lightgbm,6h,0.18260418651522917,0.1463637685760705,0.9414456916868704,0.9414456916868704,0.9718563083910493,-0.01603504657895878,1.5226643736887278,0.8791176756003473,0.9486048000329218,0.885593220338983,0.06696428571428571,0.02697841726618705,0.8326693227091634,0.908695652173913,0.8713649300829105,0.858614803072796,209.0,27.0,15.0,541.0,0.9828450798683087,0.05288493828524788,0.7471892305164177,0.03434781942027386,0.07318188428803525,0.03789701018896368,0.09695114259818187,0.5416666666666666,0.8
lightgbm,12h,0.2032643299213913,0.16041299298104614,0.9282500825556024,0.9282500825556024,0.9665529230067066,-0.03672405787640148,1.5968507621836112,0.9203831329547553,0.9424993720873263,0.8253275109170306,0.05025125628140704,0.017761989342806393,0.7907949790794979,0.883177570093458,0.8402156282027486,0.8075655215742242,189.0,40.0,10.0,553.0,0.9837815197747563,0.04786253952706862,0.7671360692957475,0.035784885599607165,0.08020649649052307,0.053887596835542215,0.11325265261711497,0.47474747474747475,0.8
refm,nowcast,0.17762629244645992,0.14391504991987739,0.9459313060064924,0.9459313060064924,0.9726067011500679,-0.000926585698669607,1.5053111983096021,0.016780373367036083,0.9553855744354597,0.9224806201550387,0.08812260536398467,0.04307116104868914,0.8469750889679716,0.9171483622350675,0.8767747818158135,0.8794094591063496,238.0,20.0,23.0,511.0,0.9899761925500101,0.038451785727437314,0.8249323453057571,0.029190072774736568,0.07195752495993869,0.03193716949811487,0.08872317815519341,0.8308080808080808,0.8
refm,6h,0.4711603079218149,0.403840969871692,0.6101704213525238,0.6101704213525238,0.7822222737642425,-0.00855739162576319,2.959104537437547,0.19521710794288827,0.6578327073641417,0.5720338983050848,0.4155844155844156,0.17266187050359713,0.4066265060240964,0.5781584582441114,0.4018218623481781,0.3993720278014876,135.0,101.0,96.0,460.0,0.8507194244604317,0.1506939225360153,0.27962388256286497,0.0735544954849915,0.201920484935846,0.0786589965638187,0.2360893179897708,0.7765151515151515,0.8
refm,12h,0.5134259406065842,0.41876272830848743,0.5422222552715851,0.5422222552715851,0.7393724953349329,-0.03759575082045613,3.2615642683052943,0.49202966168485773,0.6331353581454633,0.4978165938864629,0.3770491803278688,0.12255772646536411,0.3825503355704698,0.5533980582524272,0.399035011753062,0.37525886742109876,114.0,115.0,69.0,494.0,0.8150193520364237,0.1592294961366429,0.22530633098842645,0.08412306834426192,0.20938136415424372,0.09128638655323572,0.2565272127011609,0.8535353535353535,0.8
tft,nowcast,1.0652976940233632,0.8577156289283073,-0.9447928602085729,-0.9447928602085729,0.04424396170732894,0.003810847460320502,11.622450200908103,-34.365354120118624,-0.6047329774720183,0.2364341085271318,0.7607843137254902,0.36329588014981273,0.13495575221238937,0.2378167641325536,-0.12724413576202329,-0.12686177162268095,61.0,197.0,194.0,340.0,0.44599410620445373,0.4716685662769984,-1.14746618730348,0.36448632144943033,0.42884705559999653,0.36535659324415404,0.7724599801957206,0.1148989898989899,0.8
tft,6h,1.0347757134869315,0.8119177978975002,-0.8803117021111555,-0.8803117021111555,0.09021804891891194,0.043652407561588766,10.833672766480959,-2.8818057235268815,-0.6504164888029385,0.3474576271186441,0.6784313725490196,0.31115107913669066,0.20048899755501223,0.3340122199592668,0.03548444762245255,0.03630654798195343,82.0,154.0,173.0,383.0,0.5488431288867212,0.3886690597433179,-0.8579907106666305,0.35504626891001906,0.405946633637403,0.32966364433593826,0.7271043645889068,0.11616161616161616,0.8
tft,12h,0.9625946340187268,0.7235285616056486,-0.6091107385669647,-0.6091107385669647,0.2130477348574385,0.0774380655375996,9.174758342370755,-0.7855401134481002,-0.2895468196228723,0.4585152838427948,0.58984375,0.2682060390763766,0.27631578947368424,0.4329896907216495,0.18387841362151144,0.1903092447664182,105.0,124.0,151.0,412.0,0.5900044211065176,0.3243654150735087,-0.5781236492020236,0.3282641677355224,0.36175290113220915,0.2828519924233357,0.6485793741940449,0.2335858585858586,0.8
